id,name,gender,culture,born,died,titles,aliases
72,Alester Florent,Male,,At Brightwater Keep,"In 300 AC, at Dragonstone","Lord of Brightwater, Hand of the King",
73,Alester Norcross,Male,,In 290 AC or 291 AC,,,
74,Alester Oakheart,Male,,,At Prince's Pass,,
75,Alester Tyrell,Male,Andal,,,Ser,
76,Alicent Hightower,Female,,In 88 AC,In 133 AC,"Lady, Queen, Dowager Queen",
77,Alla Tyrell,Female,,In or around 286 AC (roughly),,,
78,Allar Deem,Male,,,"In 299 AC, at The Narrow Sea",,
79,Alliser Thorne,Male,,In 248 AC (roughly),,Ser,
80,Allyria Dayne,Female,,,,,
81,Alyce Graceford,Female,,,,Lady,
82,Alyn Ambrose,Male,,,,,
83,Alyn Cockshaw,Male,,,"In 211 AC, at Whitewalls",Lord,
84,Alyn Connington,Male,,,,"Ser, Lord Commander of the Kingsguard",The Pale Griffin
85,Alyn Estermont,Male,Stormlands,,,Ser,
86,Alyn Frey,Male,,In 295 AC or 296 AC,,,
87,Alyn Haigh,Male,,In or between 256 AC or 291 AC,,,
88,Alyn Hunt,Male,,,,Ser,
89,Alyn Stackspear,Male,,,,Ser,
90,Alyn Tarbeck,Male,,,"In 43 AC, at Gods Eye",Lord of Tarbeck Hall,
91,Alyn Velaryon,Male,Valyrian,"In 115 AC or later, at Hull, Driftmark","In or between 171 AC and 176 AC, at sea","Lord of the Tides, Master of Driftmark, Admiral, Master of ships","Alyn of Hull, The Oakenfist, Lord Oakenfist"
92,Alys Arryn,Female,,In or between 218 AC and 249 AC,,,
93,Alys Arryn,Female,,,,,
94,Alys Beesbury,Female,,,,,
95,Alys Frey,Female,,,,,
96,Alys Karstark,Female,Northmen,"In 284 AC or 285 AC, at Karhold",,,
97,Alys Karstark,Female,Northmen,,,Lady of Winterfell,
98,Alys Karstark,Female,Northmen,,,,
99,Alysane Mormont,Female,Northmen,In or between ~273 AC and 278 AC,,,The Young She-Bear
100,Alysanne Bulwer,Female,,In 291 AC,,Lady of Blackcrown,
101,Alysanne Farman,Female,,,,Lady,
102,Alysanne Hightower,Female,,,,,
103,Alysanne Lefford,Female,,,,Lady of Golden Tooth,
104,Alysanne Osgrey,Female,,In 188 AC or 189 AC,"In 209 AC, at King's Landing",,
105,Alysanne Targaryen,Female,,36 AC,99 AC or 100 AC,Queen,Good Queen Alysanne
106,Alysanne Tarth,Female,,,,,
107,Alyssa Arryn,Female,,,,,
108,Alyssa Blackwood,Female,,In 253 AC or before,In or between 269 AC and 278 AC,Lady,
109,Alyssa Targaryen,Female,Valyrian,In or between 51 AC and 60 AC,,Princess,
110,Alyssa Velaryon,Female,Valyrian,In 7 AC,,"Lady, Queen, Dowager Queen, Queen Regent, Lady of Storm's End",
111,Alyx Frey,Female,,In 282 AC,,,
112,Amarei Crakehall,Female,,In 245 AC or before,In 264 AC,,
113,Ambrose Butterwell,Male,,In 160 AC or 161 AC,,"Lord of Whitewalls, Hand of the King","Old Milkblood, The lord of cows, Lord Butterbutt"
114,Amerei Frey,Female,,In 282 AC,,Lady of Darry,Gatehouse Ami
115,Amory Lorch,Male,,,"In 299 AC, at Harrenhal","Ser, Castellan of Harrenhal",The Manticore
116,Andar Royce,Male,Valemen,At Runestone,,Ser,
117,Anders Yronwood,Male,,,,"Lord of Yronwood, The Bloodroyal, Warden of the Stone Way",
118,Andrew Estermont,Male,,,,Ser,
119,Andrey Charlton,Male,,,"In 299 AC, at the Riverlands",Ser,
120,Andros Brax,Male,,,"In 298 AC, at Riverrun",Lord of Hornvale,
121,Androw Ashford,Male,Reach,At Ashford,,Ser,
122,Androw Frey,Male,,In 295 AC or 296 AC,,,
123,Annara Farring,Female,,,,Lady,
124,Antario Jast,Male,,,,Lord,
125,Anya Waynwood,Female,,,,Lady of Ironoaks,
126,Archibald Yronwood,Male,,,,Ser,"Big Man, Ser Greenguts"
127,Ardrian Celtigar,Male,,In 229 AC or later,,Lord of Claw Isle,the Red Crab
128,Argella Durrandon,Female,,,,"Princess, Storm Queen, Lady of Storm's End",
129,Argilac Durrandon,Male,,,"2 BC, at south of Bronzegate in the Last Storm",Storm King,Argilac the Arrogant
130,Arianne Martell,Female,Dornish,"In 276 AC, at Sunspear",,Princess of Dorne,
131,Arianne Tarth,Female,,,,,
132,Arlan of Pennytree,Male,,"In or between 149 AC and 153 AC, at Pennytree","In 209 AC, at the Reach",Ser,
133,Armond Caswell,Male,,,,Lord of Bitterbridge,
134,Arnolf Karstark,Male,Northmen,At Karhold,,Castellan of Karhold,Lord Arnolf
135,Aron Santagar,Male,Dornish,,"In 299 AC, at King's Landing","Ser, Master-at-arms of the Red Keep",
136,Arra Norrey,Female,Northern mountain clans,,,Lady of Winterfell,
137,Arrec Durrandon,Male,,,,Storm King,
138,Arron Qorgyle,Male,,,,Ser,
139,Arstan Selmy,Male,Westeros,,,Lord of Harvest Hall,
140,Arthor Karstark,Male,Northmen,,,,
141,Arthur Ambrose,Male,,,,Lord,
142,Arthur Dayne,Male,,,"In 283 AC, at the Tower of Joy","Ser, Sword of the Morning",
143,Artos Stark,Male,Northmen,,,,Artos the Implacable
144,Artys I Arryn,Male,Andal,", at Giant's Lance",,"King of Mountain and Vale, Ser","Falcon Knight, Winged Knight"
145,Arwood Frey,Male,,In or between 263 AC and 281 AC,,Ser,
146,Arwyn Frey,Female,,In 285 AC,,,
147,Arwyn Oakheart,Female,,,,Lady of Old Oak,
148,Arya Stark,Female,Northmen,"In 289 AC, at Winterfell",,Princess,"Arya Horseface, Arya Underfoot, Arry, Lumpyface, Lumpyhead, Stickboy, Weasel, Nymeria, Squan, Saltb, Cat of the Canaly, Bets, The Blind Girh, The Ugly Little Girl, Mercedenl, Mercye"
149,Arys Oakheart,Male,Reach,At Old Oak,"In 300 AC, at the Greenblood",Ser,
150,Asha Greyjoy,Female,Ironborn,"In 275 AC or 276 AC, at Pyke",,"Princess, Captain of the Black Wind, Conqueror of Deepwood Motte","Esgred, The Kraken's Daughter"
151,Ashara Dayne,Female,,,"In 283 AC, at Starfall",,
152,Aubrey Ambrose,Male,,,,Ser,
153,Axell Florent,Male,,,,"Ser, Hand of the Queen (self-styled)",
154,Baela Targaryen,Female,Valyrian,"In 116 AC, at Pentos",,Lady,
155,Baelon Targaryen,Male,Valyrian,At Dragonstone,,,
156,Baelon Targaryen,Male,Valyrian,"In 105 AC, at King's Landing","In 105 AC, at King's Landing",Prince,Heir for a Day
157,Baelon Targaryen,Male,Valyrian,In or between 53 AC and 64 AC,In 101 AC,"Prince of Dragonstone, Hand of the King","Baelon the Brave, The Spring Prince"
158,Baelor Blacktyde,Male,Ironborn,,"In 300 AC, at Old Wyk","Lord of Blacktyde, Captain of the Nightflyer",
159,Baelor Hightower,Male,,At Oldtown,,Ser,"Baelor Brightsmile, Baelor Breakwind"
160,Baelor I,Male,,"144 AC, at King's Landing","171 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Baelor the Beloved, Baelor the Blessed, Baelor the Befuddled"
161,Baelor Targaryen,Male,,In 170 AC,"In 209 AC, at Ashford","Prince of Dragonstone, Protector of the Realm, Hand of the King","Baelor Breakspear, The Hammer"
162,Balman Byrch,Male,,,"In 300 AC, at Stokeworth",Ser,
163,Balon Botley,Male,Ironborn,,,,
164,Balon Swann,Male,Stormlands,,,Ser,
165,Barba Bracken,Female,,In 155 AC,,,
166,Barbrey Dustin,Female,Northmen,,,Lady of Barrowton,
167,Barre,Male,,,,Septon,
168,Barristan Selmy,Male,Westeros,In 237 AC,,"Ser, Hand of the Queen","Barristan the Bold, Arstan Whitebeard, Ser Grandfather, Barristan the Old, Old Ser"
169,Barth,Male,,,In 99 AC,"Septon, Hand of the King",
170,Barthogan Stark,Male,Northmen,,,"Lord of Winterfell, Warden of the North",Barth Blacksword
171,Bass,Male,,,,,
172,Bayard Norcross,Male,,,,Ser,
173,Bellena Hawick,Female,,,,,
174,Ben Bushy,Male,,,"In 299 AC, at the Blackwater Rush",Ser,Big Ben
175,Ben Plumm,Male,,,,Commander of the Second Sons,Brown Ben Plumm
176,Benedar Belmore,Male,,,,Lord of Strongsong,
177,Benedict Broom,Male,,,,"Ser, Master-at-arms at Casterly Rock",
178,Benedict I Justman,Male,Rivermen,,,"Ser, King of the Trident","Benedict Rivers, Benedict the Bold, Benedict the Just"
179,Benfred Tallhart,Male,Northmen,In After 281 AC,"In 299 AC, at Stony Shore",,
180,Benfrey Frey,Male,,In or between 271 AC and 279 AC,"In 299 AC, at the Twins",Ser,
181,Benjen Stark,Male,Northmen,"In 267 AC or later, at Winterfell",,First Ranger,"The Wolf Pup, Ben Stark"
182,Benjen Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",Benjen the Bitter
183,Benjen Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",Benjen the Sweet
184,Bennard Brune,Male,,,,"Ser, The Knight of Brownhollow",
185,Bennarion Botley,Male,Ironborn,,,,
186,Bennis,Male,,,,Ser,"Bennis of the Brown Shield, Bennis Brownstench"
187,Beony Beesbury,Female,,,,,
188,Beren Tallhart,Male,Northmen,In 289 AC,,,
189,Berena Hornwood,Female,Northmen,,,,
190,Beric Dondarrion,Male,,"In 276 AC or 277 AC, at Blackhaven","In 300 AC (his seventh and final death), at the riverlands",Lord of Blackhaven,"The lightning lord, The Lord of Corpses, Lord Derik"
191,Beron Blacktyde,Male,,,,,Blind Beron Blacktyde
192,Beron Stark,Male,Northmen,,,"Lord of Winterfell, Warden of the North",
193,Bertram Beesbury,Male,,,,Ser,
194,Beth Cassel,Female,Northmen,"In about 289 AC, at Winterfell",,,
195,Betha Blackwood,Female,,At Raventree Hall,,"Lady, Queen",Black Betha
196,Bethany Bolton,Female,Northmen,,,Lady of the Dreadfort,
197,Bethany Bracken,Female,,In 156 AC or later,In 178 AC,,
198,Bethany Redwyne,Female,,,,Lady of Goldengrove,
199,Bethany Rosby,Female,,In 265 AC or before,In or between 282 AC and 284 AC,Lady,
200,Bonifer Hasty,Male,,,,"Ser, Castellan of Harrenhal","Bonifer the Good, Baelor Butthole"
201,Boremund Harlaw,Male,Ironborn,,,Master of Harridan Hill,Boremund the Blue
202,Boros Blount,Male,,,,Ser,Boros the Belly
203,Bowen Marsh,Male,,,,"Lord Steward, First Steward",Old Pomegranate
204,Bradamar Frey,Male,,In 289 AC,,,
205,Brandon Norrey,Male,Northern mountain clans,,,"The Norrey, Lord Norrey",
206,Brandon Stark,Male,Northmen,"In 262 AC, at Winterfell","In 282 AC, at King's Landing",,The Wild Wolf
207,Brandon Stark,Male,Northmen,,,"Lord of Winterfell, Warden of the North",
208,Brandon Stark,Male,Northmen,"In 290 AC, at Winterfell",,Prince of Winterfell,"Bran, Bran the Broken, The Winged Wolf"
209,Brandon Stark,Male,First Men,,,King of Winter,Bran the Builder
210,Brandon Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",Brandon the Bad
211,Brandon Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",Brandon the Burner
212,Brandon Stark,Male,Northmen,,,"Lord of Winterfell, Warden of the North",
213,Brandon Stark,Male,Northmen,,,"King in the North, Lord of Winterfell",Brandon the Shipwright
214,Brandon Tallhart,Male,Northmen,In 284 AC or 285 AC,,,
215,Branston Cuy,Male,,,,Lord of Sunflower Hall,
216,Brienne of Tarth,Female,,In 280 AC,,,"The Maid of Tarth, Brienne the Beauty, Brienne the Blue"
217,Bronn,Male,,In or between 264 AC and 268 AC,,"Ser, Lord Protector of Stokeworth","Ser Bronn of the Blackwater, Lord Stokeworth"
218,Bryan Fossoway,Male,,,"In 299 AC, at Blackwater Rush",Ser,
219,Bryan Frey,Male,,In or between 281 AC and 291 AC,,,
220,Bryce Caron,Male,,,"In 299 AC, at the Blackwater Rush","Lord of Nightsong, Lord of the Marches",Bryce the Orange
221,Bryen Caron,Male,,,In 289 AC,"Lord of the Marches, Lord of Nightsong",
222,Bryen Farring,Male,,,"In 300 AC, at the wolfswood",,
223,Brynden Tully,Male,Rivermen,In or between 242 AC and 245 AC,,"Ser, Warden of the Southern Marches, Knight of the Gate (formerly)","Blackfish, Ser Brynden the Blackfish, Brynden Blackfish"
224,Buford Bulwer,Male,,,,Ser,The Old Ox
225,Burton Crakehall,Male,,,"In 299 AC, at the Riverlands",Ser,
226,Calla Blackfyre,Female,Valyrian,,,,
227,Carellen Smallwood,Female,,,,,
228,Carolei Waynwood,Female,,,,,
229,Casper Wylde,Male,,,,Lord of the Rain House,
230,Cassana Estermont,Female,,,"In 278 AC, at Shipbreaker Bay, near Storm's End",,
231,Cassella Vaith,Female,Dornish,,,Lady of Vaith,
232,Catelyn Stark,Female,Rivermen,"In 264 AC, at Riverrun","In 299 AC, at the Twins",Lady of Winterfell,"Catelyn Tully, Lady Stoneheart, The Silent Sistet, Mother Mercilesr, The Hangwomans"
233,Cedric Payne,Male,,,"In 298 AC, at Riverlands",Ser,
234,Cedrik Storm,Male,,,,,the Bastard of Bronzegate
235,Cerenna Lannister,Female,,,,,
236,Cerissa Brax,Female,,,,Lady of Casterly Rock,
237,Cersei Frey,Female,,In 292 AC or 293 AC,,,the Little Bee
238,Cersei Lannister,Female,Westerman,"In 266 AC, at Casterly Rock",,"Light of the West, Queen Dowager, Protector of the Realm, Lady of Casterly Rock, Queen Regent","Brotherfucker, The bitch queen"
239,Ceryse Hightower,Female,,In 2 AC,"In 45 AC, at King's Landing","Lady, Queen",
240,Clarence Charlton,Male,,,,Ser,
241,Clarence Crabb,Male,,,,Ser,Clarence the Short
242,Clarent Crakehall,Male,,At Crakehall,"In 130 AC, at Gods Eye",Ser,
243,Clayton Suggs,Male,,,,Ser,
244,Clement Crabb,Male,,,,Ser,
245,Clement Piper,Male,Rivermen,,,Lord of Pinkmaiden,
246,Cletus Yronwood,Male,,,"In 300 AC, at Disputed Lands",Ser,
247,Cley Cerwyn,Male,Northmen,"In 284 AC or 285 AC, at Cerwyn","In 299 AC, at Winterfell",Lord of Cerwyn,
248,Cleyton Caswell,Male,,,,Ser,
249,Colen of Greenpools,Male,,,,Ser,
250,Colin Florent,Male,,,,"Ser, Castellan of Brightwater Keep",
251,Colmar Frey,Male,,In 288 AC,,,
252,Corenna Swann,Female,,,,,
253,Corlys Velaryon,Male,Valyrian,In 53 AC,In 132 AC,"Lord of the Tides, Master of Driftmark, Hand of the Queen, Lord Regent, Master of ships",The Sea Snake
254,Cortnay Penrose,Male,,At Parchments,"In 299 AC, at Storm's End","Ser, Castellan of Storm's End",
255,Corwyn Corbray,Male,,,"In 134 AC, at Runestone","Ser, Lord Regent",
256,Corwyn Corbray,Male,Andal,,,"Ser, Lord of the Five Fingers",
257,Crake,Male,,In Age of Heroes,,,Crake the Boarkiller
258,Cregan Karstark,Male,Northmen,"In 249 AC (roughly), at Karhold",,,
259,Cregan Stark,Male,Northmen,,In or after 157 AC,"Lord of Winterfell, Warden of the North, Hand of the King",The Old Man of the North
260,Creighton Longbough,Male,,In or between 240 AC and 249 AC,,Ser,
261,Creighton Redfort,Male,Valemen,,,Ser,
262,Cynthea Frey,Female,,In 290 AC,,,
263,Cyrenna Swann,Female,,In 236 AC or before,In or between 249 AC and 257 AC,,
264,Dacey Mormont,Female,Northmen,In or between 252 AC or 277 AC,"In 299 AC, at the Twins",,
265,Daella Targaryen,Female,Valyrian,In or between 54 AC and 66 AC,In 82 AC,"Princess, Lady of the Eyrie",
266,Daella Targaryen,Female,Valyrian,In 199 AC,,Princess,
267,Daemon Blackfyre,Male,Valyrian,"In 170 AC, at King's Landing","In 196 AC, at Redgrass Field","Ser, Protector of the Realm (claimant)","Daemon Waters, The Black Dragon, The King Who Bore the Sword, The Pretender"
268,Daemon II Blackfyre,Male,,In 188 AC or 189 AC,In or between 211 AC and 219 AC,"King of the Andals, the Rhoynar and the First Men (claimant), Protector of the Realm (claimant)","Ser John the Fiddler, The Brown Dragon"
269,Daemon Targaryen,Male,Valyrian,In 81 AC,"In 130 AC, at the Gods Eye","Prince, Commander of the City Watch, Master of coin, Master of laws, King of the Stepstones and the Narrow Sea, Protector of the Realm","Prince of the City, Lord Flea Bottom, The Rogue Prince"
270,Daena Targaryen,Female,Valyrian,"In 145 AC, at King's Landing",,Princess,Daena the Defiant
271,Daenerys Targaryen,Female,,In 172 AC,,Princess,
272,Daenora Targaryen,Female,Valyrian,,,Princess,
273,Daeron I,Male,,"143 AC, at King's Landing","161 AC, at Dorne","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","The Young Dragon, The Boy King"
274,Daeron II,Male,,"153 AC, at King's Landing","209 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms","Daeron the Good, Daeron the Falseborn"
275,Daeron Targaryen,Male,,In 114 AC,"In 130 AC, at Tumbleton","Prince, Ser",Daeron the Daring
276,Daeron Targaryen,Male,,In 190 AC or 191 AC,In or between 221 AC and 233 AC,"Prince of Dragonstone, Prince of Summerhall",Daeron the Drunken
277,Daeron Vaith,Male,Dornish,,,Lord of the Red Dunes,
278,Dagon Greyjoy,Male,Ironborn,,,Lord of Pyke,
279,Dagos Manwoody,Male,,,,Lord of Kingsgrave,
280,Dalbridge,Male,,In 254 AC or before,"In 299 AC, at Skirling Pass",,Squire Dalbridge
281,Dale Drumm,Male,,,,,Dale the Dread
282,Damion Lannister,Male,,In or between 257 AC and 272 AC,,"Ser, Castellan of Casterly Rock",
283,Damon Lannister,Male,Westerman,,In 210 AC,"Lord of Casterly Rock, Shield of Lannisport, Warden of the West",The Grey Lion
284,Damon Lannister,Male,,In 244 AC or 245 AC,,,
285,Damon Marbrand,Male,,,,Lord of Ashemark,
286,Damon Paege,Male,,,,Ser,
287,Damon Shett,Male,,,,"the Knight of Gull Tower, Ser",
288,Damon Vypren,Male,,In 265 AC or later,,Ser,
289,Danelle Lothston,Female,,,,Lady of Harrenhal,Mad Danelle
290,Danos Slynt,Male,,,,,
291,Danwell Frey,Male,,In or between 252 AC and 261 AC,,Ser,
292,Darlessa Marbrand,Female,,,,,
293,Daryn Hornwood,Male,Northmen,,"In 298 AC, at the Whispering Wood",,
294,Daven Lannister,Male,Westerman,In 273 AC (roughly),,"Ser, Warden of the West",
295,Deana Hardyng,Female,,,,,
296,Delena Florent,Female,,,,,
297,Della Frey,Female,,In 296 AC,,,Deaf Della
298,Delonne Allyrion,Female,Dornish,,,Lady of Godsgrace,
299,Dennis Plumm,Male,,,,Ser,
300,Denys Arryn,Male,,,"In 283 AC, at Stoney Sept","Ser, Keeper of the Gates of the Moon",The Darling of the Vale
301,Denys Darklyn,Male,,,,Lord of Duskendale,
302,Denys Drumm,Male,Ironborn,,,,
303,Denys Mallister,Male,,"In 245 AC or before, at Seagard",,Ser,
304,Denys Redwyne,Male,,,,,
305,Denyse Hightower,Female,,,,,
306,Desmond Grell,Male,,In or between 237 AC and 240 AC (roughly),,Ser,
307,Desmond Redwyne,Male,,,,Ser,
308,Devan Seaworth,Male,,In 287 AC,,,
309,Deziel Dalt,Male,,,,The Knight of Lemonwood,
310,Dick Follard,Male,,,"In 299 AC, at Castle Black",,Deaf Dick Follard
311,Dickon Frey,Male,,In 294 AC,,,
312,Dickon Manwoody,Male,,,,,
313,Dickon Tarly,Male,,In or between 287 AC and 290 AC,,,
314,Domeric Bolton,Male,,In or between 279 AC and 281 AC (roughly),In 297 AC,,
315,Donal Noye,Male,,In or between 244 AC and 252 AC,"In 300 AC, at The Wall, near Castle Black",,
316,Donel Greyjoy,Male,Ironborn,,,,
317,Donella Hornwood,Female,Northmen,In or before 249 AC,"In 299 AC, at Hornwood",Lady of Hornwood,
318,Donnel,Male,,,,Ser,
319,Donnel Drumm,Male,Ironborn,,,,
320,Donnel Haigh,Male,,In or between 255 AC and 282 AC,,Ser,
321,Donnel Locke,Male,,,"In 299 AC, at the Twins",Ser,
322,Donnel Swann,Male,Stormlands,,,Ser,Ser Donnel the Constant
323,Donnor Saltcliffe,Male,Ironborn,,,Lord,
324,Donnor Stark,Male,Northmen,,,"Lord of Winterfell, Warden of the North",
325,Dontos Hollard,Male,,"In or between 261 AC and 263 AC, at near Duskendale","In 300 AC, at Blackwater Bay",Ser,"Dontos the Red, Dontos the Drunk, Florian"
326,Doran Martell,Male,Dornish,"In 247 AC or 248 AC, at Sunspear",,Prince of Dorne,
327,Dorna Swyft,Female,,,,,
328,Dorren Stark,Male,Northmen,,,King in the North,
329,Duncan,Male,,"In 191 AC, 192 AC or 193 AC, at King's Landing","In 259 AC, at Summerhall","Ser, Lord Commander of the Kingsguard","Dunk, Duncan the Tall, Dunk the Lunk, Ser Giant, The Gallows Knight"
330,Duncan Targaryen,Male,,In or between 220 AC and 224 AC,"In 259 AC, at Summerhall",Prince,"Prince Duncan the Small, Prince of Dragonflies"
331,Dunstan Drumm,Male,Ironborn,"In 212 AC or later, at Old Wyk",,"Lord of Old Wyk, Captain of the Thunderer","The Drumm, The Bone Hand"
